"id","calorie","carbohydrates","cholesterol","fat","natrium","protein","saturated_fat","sugar","trans_fat"
1,1,0,0,0,1,0,1,0,1
2,0,0,0,0,0,0,0,0,0
3,1,0,1,0,1,0,0,1,0
4,1,0,1,0,1,0,0,1,0
